"GENE"	"TCGA_bladder"	"TCGA_prostate"	"TCGA_thyroid"
"349"	"BARD1"	48.9845	122.6576	78.3041
"350"	"SNORD114-2"	0	0	0
"351"	"MTTP"	1.7921	2.2714	5.6801
"352"	"SLC8A2"	3.5842	42.5083	1.2172
"353"	"C16orf87"	126.0454	89.884	105.4874
"354"	"CYP3A5"	1591.9952	683.378	5.6801
"355"	"HEATR3"	154.7192	212.2171	152.1452
"356"	"PCDH11X"	35.2449	24.0123	10.5487
"357"	"INPP5K"	864.3967	901.7604	1165.2297
"358"	"VWDE"	14.3369	13.6286	42.1949
"359"	"LMO4"	680.4062	1801.5738	1232.1736
"360"	"SYNGR4"	0	1.298	0.4057
"361"	"KDELC1"	42.4134	96.6983	47.4693
"362"	"POC1B"	329.5042	350.9435	388.5303
"363"	"HMG20B"	1099.7611	1517.6442	1217.9734
"364"	"C16orf88"	138.5902	234.9315	186.2258
"365"	"ACADL"	11.3501	266.0826	493.762
"366"	"CPA2"	0	0	0.4057
"367"	"ANKRD13C"	703.1063	671.6963	594.7865
"368"	"PDZD3"	17.3238	0.9735	0.4057
"369"	"SEPHS2"	789.1278	1279.4678	1416.3708
"370"	"RNASE2"	4.779	6.4898	2.0286
"371"	"QRSL1"	339.307	325.7889	578.9634
"372"	"CLDN10"	14.2354	106.2286	1.2658
"373"	"KRT6A"	686.9773	116.4923	1.2172
"374"	"ZZEF1"	1337.5149	1817.7983	1738.9188
"375"	"FAT4"	329.1517	969.2545	736.383
"376"	"IRF4"	359.6177	45.4287	695.4052
"377"	"OBFC2B"	228.7933	417.2954	552.1858
"378"	"GPR120"	0.5974	2.5959	4.4629
"379"	"DNAH7"	5.3763	69.4411	163.9111
"380"	"GPR15"	127.8375	6.4898	13.7945
"381"	"MID1IP1"	930.7049	1350.2069	644.6901
"382"	"C2orf63"	84.8268	83.3942	133.4821
"383"	"OR14J1"	0	0	0
"384"	"KLF8"	218.638	221.9518	154.5796
"385"	"MYH2"	0.5974	0.3245	0
"386"	"ULBP1"	8.9606	0.9735	8.9259
"387"	"GNB3"	10.7527	14.9266	30.0233
